purchase_order_id,vendor_name,ordered_value,invoiced_value,difference,control_status
450001,NordTech Components GmbH,3875.0,3875.0,0.0,MATCH
450002,Rhein Industrial Supply GmbH,1380.0,1380.0,0.0,MATCH
450003,Iberia Office Solutions SL,2830.0,2830.0,0.0,MATCH
450004,Baltic Packaging Sp. z o.o.,890.0,360.0,-530.0,REVIEW
450005,Alpine Safety AG,2090.0,2090.0,0.0,MATCH
450006,NordTech Components GmbH,2130.0,2130.0,0.0,MATCH
450007,Rhein Industrial Supply GmbH,2975.0,945.0,-2030.0,REVIEW
450008,Iberia Office Solutions SL,2204.0,0.0,-2204.0,NOT_INVOICED
450009,Baltic Packaging Sp. z o.o.,1026.0,1036.0,10.0,REVIEW
450010,Alpine Safety AG,1280.0,0.0,-1280.0,NOT_INVOICED

